Event	ID	Name			Wwise Object Path	Notes
	1197134253	Windmill_Gust			\Dialogue Events Work Unit\Windmill_Gust	
	1236423706	Hole_In_One			\Dialogue Events Work Unit\Hole_In_One	
	1249339686	Par			\Dialogue Events Work Unit\Par	
	1532174077	Wrong_Answer			\Dialogue Events Work Unit\Wrong_Answer	
	1677702291	Over_Par			\Dialogue Events Work Unit\Over_Par	
	2198782405	Hit_Off_Ramp			\Dialogue Events Work Unit\Hit_Off_Ramp	
	2468766642	Ball_in_pond			\Dialogue Events Work Unit\Ball_in_pond	
	2536063076	Rebound_Block			\Dialogue Events Work Unit\Rebound_Block	
	3336002368	Laser_Block			\Dialogue Events Work Unit\Laser_Block	
	3533229091	Ball_Rolls_Back			\Dialogue Events Work Unit\Ball_Rolls_Back	
	4051042642	Time_Up			\Dialogue Events Work Unit\Time_Up	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	79882510	If my ball	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\Ball Block_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\If my ball		863936
	243294314	Time up 2	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\time's up 2_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Time Up Random Container\Time up 2		772928
	252893937	Let's Hope	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\Let's Hope_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Let's Hope		480064
	287949453	Time up 1	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\time's up 1_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Time Up Random Container\Time up 1		816064
	483724429	Friendly Reminder	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\Friendly Reminder_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Friendly Reminder		1056832
	487302273	Windmill	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\Windmill_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Windmill		672064
	645095727	Hole in one	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\Hole in one_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Hole in one		687168
	646977660	Look at it Soar	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\Soar_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Look at it Soar		470336
	767101463	Par met	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\par met_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Par met		657472
	938086836	Over par	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\one too many_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Over par		864064
	955658929	Solid Light	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\Solid Light_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Solid Light		885056
	1014263071	Time up 3	C:\Users\priemg\_Personal\Knucklebones\IslandMinigames\Unity_KBI_IM\Unity_KBI_IM_WwiseProject\.cache\Windows\SFX\time's up 3_Mix-St_10C4C929.wem		\Actor-Mixer Hierarchy\Dialogue Work Unit\Time Up Random Container\Time up 3		528064

